2020-03-05,21:29,Thu,144,True,P41 - P+R Capelsebrug
2020-03-05,21:30,Thu,144,True,P41 - P+R Capelsebrug
2020-03-05,21:31,Thu,145,True,P41 - P+R Capelsebrug
2020-03-05,21:31,Thu,145,True,P41 - P+R Capelsebrug
2020-03-05,21:32,Thu,145,True,P41 - P+R Capelsebrug
2020-03-05,21:33,Thu,146,True,P41 - P+R Capelsebrug
2020-03-05,21:34,Thu,146,True,P41 - P+R Capelsebrug
2020-03-05,21:35,Thu,146,True,P41 - P+R Capelsebrug
2020-03-05,21:36,Thu,147,True,P41 - P+R Capelsebrug
2020-03-05,21:37,Thu,147,True,P41 - P+R Capelsebrug
2020-03-05,21:39,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:39,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:40,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:41,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:42,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:43,Thu,147,True,P41 - P+R Capelsebrug,370
2020-03-05,21:44,Thu,146,True,P41 - P+R Capelsebrug,370
2020-03-05,21:45,Thu,146,True,P41 - P+R Capelsebrug,370
2020-03-05,21:46,Thu,146,True,P41 - P+R Capelsebrug,370
2020-03-05,21:47,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:48,Thu,148,True,P41 - P+R Capelsebrug,370
2020-03-05,21:49,Thu,150,True,P41 - P+R Capelsebrug,370
2020-03-05,21:50,Thu,151,True,P41 - P+R Capelsebrug,370
2020-03-05,21:51,Thu,150,True,P41 - P+R Capelsebrug,370
2020-03-05,21:52,Thu,150,True,P41 - P+R Capelsebrug,370
2020-03-05,21:53,Thu,152,True,P41 - P+R Capelsebrug,370
2020-03-05,21:54,Thu,154,True,P41 - P+R Capelsebrug,370
2020-03-05,21:55,Thu,154,True,P41 - P+R Capelsebrug,370
2020-03-05,21:56,Thu,154,True,P41 - P+R Capelsebrug,370
2020-03-05,21:57,Thu,153,True,P41 - P+R Capelsebrug,370
2020-03-05,21:58,Thu,156,True,P41 - P+R Capelsebrug,370
2020-03-05,21:59,Thu,155,True,P41 - P+R Capelsebrug,370
2020-03-05,22:00,Thu,155,True,P41 - P+R Capelsebrug,370
2020-03-05,22:01,Thu,156,True,P41 - P+R Capelsebrug,370
2020-03-05,22:02,Thu,156,True,P41 - P+R Capelsebrug,370
2020-03-05,22:03,Thu,154,True,P41 - P+R Capelsebrug,370
2020-03-05,22:04,Thu,158,True,P41 - P+R Capelsebrug,370
2020-03-05,22:05,Thu,159,True,P41 - P+R Capelsebrug,370
2020-03-05,22:06,Thu,159,True,P41 - P+R Capelsebrug,370
2020-03-05,22:07,Thu,158,True,P41 - P+R Capelsebrug,370
2020-03-05,22:08,Thu,158,True,P41 - P+R Capelsebrug,370
2020-03-05,22:09,Thu,160,True,P41 - P+R Capelsebrug,370
2020-03-05,22:10,Thu,160,True,P41 - P+R Capelsebrug,370
2020-03-05,22:11,Thu,160,True,P41 - P+R Capelsebrug,370
2020-03-05,22:12,Thu,161,True,P41 - P+R Capelsebrug,370
2020-03-05,22:13,Thu,164,True,P41 - P+R Capelsebrug,370
2020-03-05,22:14,Thu,164,True,P41 - P+R Capelsebrug,370
2020-03-05,22:15,Thu,164,True,P41 - P+R Capelsebrug,370
2020-03-05,22:16,Thu,166,True,P41 - P+R Capelsebrug,370
2020-03-05,22:17,Thu,166,True,P41 - P+R Capelsebrug,370
2020-03-05,22:18,Thu,165,True,P41 - P+R Capelsebrug,370
2020-03-05,22:19,Thu,165,True,P41 - P+R Capelsebrug,370
2020-03-05,22:20,Thu,165,True,P41 - P+R Capelsebrug,370
2020-03-05,22:21,Thu,168,True,P41 - P+R Capelsebrug,370
2020-03-05,22:22,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:23,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:24,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:25,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:26,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:27,Thu,170,True,P41 - P+R Capelsebrug,370
2020-03-05,22:28,Thu,173,True,P41 - P+R Capelsebrug,370
2020-03-05,22:29,Thu,174,True,P41 - P+R Capelsebrug,370
2020-03-05,22:30,Thu,175,True,P41 - P+R Capelsebrug,370
2020-03-05,22:31,Thu,176,True,P41 - P+R Capelsebrug,370
2020-03-05,22:32,Thu,176,True,P41 - P+R Capelsebrug,370
2020-03-05,22:33,Thu,175,True,P41 - P+R Capelsebrug,370
2020-03-05,22:34,Thu,175,True,P41 - P+R Capelsebrug,370
2020-03-05,22:35,Thu,176,True,P41 - P+R Capelsebrug,370
2020-03-05,22:36,Thu,180,True,P41 - P+R Capelsebrug,370
2020-03-05,22:37,Thu,181,True,P41 - P+R Capelsebrug,370
2020-03-05,22:38,Thu,181,True,P41 - P+R Capelsebrug,370
2020-03-05,22:39,Thu,182,True,P41 - P+R Capelsebrug,370
2020-03-05,22:40,Thu,181,True,P41 - P+R Capelsebrug,370
2020-03-05,22:41,Thu,181,True,P41 - P+R Capelsebrug,370
2020-03-05,22:42,Thu,183,True,P41 - P+R Capelsebrug,370
2020-03-05,22:43,Thu,186,True,P41 - P+R Capelsebrug,370
2020-03-05,22:44,Thu,185,True,P41 - P+R Capelsebrug,370
2020-03-05,22:45,Thu,187,True,P41 - P+R Capelsebrug,370
2020-03-05,22:46,Thu,186,True,P41 - P+R Capelsebrug,370
2020-03-05,22:47,Thu,188,True,P41 - P+R Capelsebrug,370
2020-03-05,22:48,Thu,188,True,P41 - P+R Capelsebrug,370
2020-03-05,22:49,Thu,189,True,P41 - P+R Capelsebrug,370
2020-03-05,22:50,Thu,194,True,P41 - P+R Capelsebrug,370
2020-03-05,22:51,Thu,195,True,P41 - P+R Capelsebrug,370
2020-03-05,22:52,Thu,197,True,P41 - P+R Capelsebrug,370
2020-03-05,22:53,Thu,198,True,P41 - P+R Capelsebrug,370
2020-03-05,22:54,Thu,197,True,P41 - P+R Capelsebrug,370
2020-03-05,22:55,Thu,197,True,P41 - P+R Capelsebrug,370
2020-03-05,22:56,Thu,194,True,P41 - P+R Capelsebrug,370
2020-03-05,22:57,Thu,196,True,P41 - P+R Capelsebrug,370
2020-03-05,22:58,Thu,199,True,P41 - P+R Capelsebrug,370
2020-03-05,22:59,Thu,202,True,P41 - P+R Capelsebrug,370
2020-03-05,23:00,Thu,203,True,P41 - P+R Capelsebrug,370
2020-03-05,23:01,Thu,203,True,P41 - P+R Capelsebrug,370
2020-03-05,23:02,Thu,203,True,P41 - P+R Capelsebrug,370
2020-03-05,23:03,Thu,204,True,P41 - P+R Capelsebrug,370
2020-03-05,23:04,Thu,203,True,P41 - P+R Capelsebrug,370
2020-03-05,23:05,Thu,205,True,P41 - P+R Capelsebrug,370
2020-03-05,23:06,Thu,205,True,P41 - P+R Capelsebrug,370
2020-03-05,23:07,Thu,208,True,P41 - P+R Capelsebrug,370
2020-03-05,23:08,Thu,213,True,P41 - P+R Capelsebrug,370
2020-03-05,23:09,Thu,215,True,P41 - P+R Capelsebrug,370
2020-03-05,23:10,Thu,216,True,P41 - P+R Capelsebrug,370
2020-03-05,23:11,Thu,219,True,P41 - P+R Capelsebrug,370
2020-03-05,23:12,Thu,227,True,P41 - P+R Capelsebrug,370
2020-03-05,23:13,Thu,228,True,P41 - P+R Capelsebrug,370
2020-03-05,23:14,Thu,231,True,P41 - P+R Capelsebrug,370
2020-03-05,23:15,Thu,235,True,P41 - P+R Capelsebrug,370
2020-03-05,23:16,Thu,233,True,P41 - P+R Capelsebrug,370
2020-03-05,23:17,Thu,232,True,P41 - P+R Capelsebrug,370
2020-03-05,23:18,Thu,234,True,P41 - P+R Capelsebrug,370
2020-03-05,23:19,Thu,231,True,P41 - P+R Capelsebrug,370
2020-03-05,23:20,Thu,233,True,P41 - P+R Capelsebrug,370
2020-03-05,23:21,Thu,237,True,P41 - P+R Capelsebrug,370
2020-03-05,23:22,Thu,243,True,P41 - P+R Capelsebrug,370
2020-03-05,23:23,Thu,248,True,P41 - P+R Capelsebrug,370
2020-03-05,23:24,Thu,254,True,P41 - P+R Capelsebrug,370
2020-03-05,23:25,Thu,255,True,P41 - P+R Capelsebrug,370
2020-03-05,23:26,Thu,255,True,P41 - P+R Capelsebrug,370
2020-03-05,23:27,Thu,256,True,P41 - P+R Capelsebrug,370
2020-03-05,23:28,Thu,259,True,P41 - P+R Capelsebrug,370
2020-03-05,23:29,Thu,266,True,P41 - P+R Capelsebrug,370
