2020-03-05,21:31,Thu,267,True,P301 - P+R Slinge bovendek
2020-03-05,21:32,Thu,267,True,P301 - P+R Slinge bovendek
2020-03-05,21:33,Thu,267,True,P301 - P+R Slinge bovendek
2020-03-05,21:34,Thu,268,True,P301 - P+R Slinge bovendek
2020-03-05,21:35,Thu,269,True,P301 - P+R Slinge bovendek
2020-03-05,21:36,Thu,270,True,P301 - P+R Slinge bovendek
2020-03-05,21:37,Thu,270,True,P301 - P+R Slinge bovendek
2020-03-05,21:39,Thu,271,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:39,Thu,271,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:40,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:41,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:42,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:43,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:44,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:45,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:46,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:47,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:48,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:49,Thu,272,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:50,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:51,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:52,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:53,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:54,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:55,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:56,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:57,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:58,Thu,273,True,P301 - P+R Slinge bovendek,316
2020-03-05,21:59,Thu,273,True,P301 - P+R Slinge bovendek,316
