2020-03-05,21:31,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:32,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:33,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:34,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:35,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:36,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:37,Thu,312,True,P34 - P+R_Meijersplein
2020-03-05,21:39,Thu,313,True,P34 - P+R_Meijersplein,496
2020-03-05,21:39,Thu,313,True,P34 - P+R_Meijersplein,496
2020-03-05,21:40,Thu,313,True,P34 - P+R_Meijersplein,496
2020-03-05,21:41,Thu,313,True,P34 - P+R_Meijersplein,496
2020-03-05,21:42,Thu,313,True,P34 - P+R_Meijersplein,496
2020-03-05,21:43,Thu,314,True,P34 - P+R_Meijersplein,496
2020-03-05,21:44,Thu,317,True,P34 - P+R_Meijersplein,496
2020-03-05,21:45,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:46,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:47,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:48,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:49,Thu,317,True,P34 - P+R_Meijersplein,496
2020-03-05,21:50,Thu,317,True,P34 - P+R_Meijersplein,496
2020-03-05,21:51,Thu,317,True,P34 - P+R_Meijersplein,496
2020-03-05,21:52,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:53,Thu,319,True,P34 - P+R_Meijersplein,496
2020-03-05,21:54,Thu,319,True,P34 - P+R_Meijersplein,496
2020-03-05,21:55,Thu,319,True,P34 - P+R_Meijersplein,496
2020-03-05,21:56,Thu,318,True,P34 - P+R_Meijersplein,496
2020-03-05,21:57,Thu,320,True,P34 - P+R_Meijersplein,496
2020-03-05,21:58,Thu,320,True,P34 - P+R_Meijersplein,496
2020-03-05,21:59,Thu,320,True,P34 - P+R_Meijersplein,496
2020-03-05,22:00,Thu,320,True,P34 - P+R_Meijersplein,496
2020-03-05,22:01,Thu,321,True,P34 - P+R_Meijersplein,496
2020-03-05,22:02,Thu,321,True,P34 - P+R_Meijersplein,496
2020-03-05,22:03,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:04,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:05,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:06,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:07,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:08,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:09,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:10,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:11,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:12,Thu,322,True,P34 - P+R_Meijersplein,496
2020-03-05,22:13,Thu,323,True,P34 - P+R_Meijersplein,496
2020-03-05,22:14,Thu,323,True,P34 - P+R_Meijersplein,496
2020-03-05,22:15,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:16,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:17,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:18,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:19,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:20,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:21,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:22,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:23,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:24,Thu,324,True,P34 - P+R_Meijersplein,496
2020-03-05,22:25,Thu,325,True,P34 - P+R_Meijersplein,496
2020-03-05,22:26,Thu,325,True,P34 - P+R_Meijersplein,496
2020-03-05,22:27,Thu,326,True,P34 - P+R_Meijersplein,496
2020-03-05,22:28,Thu,327,True,P34 - P+R_Meijersplein,496
2020-03-05,22:29,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:30,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:31,Thu,329,True,P34 - P+R_Meijersplein,496
2020-03-05,22:32,Thu,329,True,P34 - P+R_Meijersplein,496
2020-03-05,22:33,Thu,329,True,P34 - P+R_Meijersplein,496
2020-03-05,22:34,Thu,329,True,P34 - P+R_Meijersplein,496
2020-03-05,22:35,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:36,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:37,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:38,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:39,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:40,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:41,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:42,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:43,Thu,328,True,P34 - P+R_Meijersplein,496
2020-03-05,22:44,Thu,329,True,P34 - P+R_Meijersplein,496
