2020-03-05,21:29,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:30,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:31,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:31,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:32,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:33,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:34,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:35,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:36,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:37,Thu,121,True,P35 - P+R_Schiedam Centrum
2020-03-05,21:39,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:39,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:40,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:41,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:42,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:43,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:44,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:45,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:46,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:47,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:48,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:49,Thu,122,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:50,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:51,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:52,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:53,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:54,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:55,Thu,123,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:56,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:57,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:58,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,21:59,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:00,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:01,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:02,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:03,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:04,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:05,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:06,Thu,124,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:07,Thu,125,True,P35 - P+R_Schiedam Centrum,168
2020-03-05,22:08,Thu,126,True,P35 - P+R_Schiedam Centrum,168
