2020-03-05,21:31,Thu,456,True,P36 - P+R_Alexander
2020-03-05,21:32,Thu,456,True,P36 - P+R_Alexander
2020-03-05,21:33,Thu,456,True,P36 - P+R_Alexander
2020-03-05,21:34,Thu,456,True,P36 - P+R_Alexander
2020-03-05,21:35,Thu,457,True,P36 - P+R_Alexander
2020-03-05,21:36,Thu,457,True,P36 - P+R_Alexander
2020-03-05,21:37,Thu,457,True,P36 - P+R_Alexander
2020-03-05,21:39,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:39,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:40,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:41,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:42,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:43,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:44,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:45,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:46,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:47,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:48,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:49,Thu,457,True,P36 - P+R_Alexander,497
2020-03-05,21:50,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:51,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:52,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:53,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:54,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:55,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:56,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:57,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:58,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,21:59,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,22:00,Thu,459,True,P36 - P+R_Alexander,497
2020-03-05,22:01,Thu,460,True,P36 - P+R_Alexander,497
2020-03-05,22:02,Thu,461,True,P36 - P+R_Alexander,497
2020-03-05,22:03,Thu,464,True,P36 - P+R_Alexander,497
2020-03-05,22:04,Thu,465,True,P36 - P+R_Alexander,497
2020-03-05,22:05,Thu,465,True,P36 - P+R_Alexander,497
2020-03-05,22:06,Thu,465,True,P36 - P+R_Alexander,497
2020-03-05,22:07,Thu,465,True,P36 - P+R_Alexander,497
2020-03-05,22:08,Thu,465,True,P36 - P+R_Alexander,497
2020-03-05,22:09,Thu,466,True,P36 - P+R_Alexander,497
2020-03-05,22:10,Thu,467,True,P36 - P+R_Alexander,497
2020-03-05,22:11,Thu,468,True,P36 - P+R_Alexander,497
2020-03-05,22:12,Thu,468,True,P36 - P+R_Alexander,497
2020-03-05,22:13,Thu,468,True,P36 - P+R_Alexander,497
2020-03-05,22:14,Thu,468,True,P36 - P+R_Alexander,497
2020-03-05,22:15,Thu,468,True,P36 - P+R_Alexander,497
2020-03-05,22:16,Thu,469,True,P36 - P+R_Alexander,497
2020-03-05,22:17,Thu,469,True,P36 - P+R_Alexander,497
2020-03-05,22:18,Thu,469,True,P36 - P+R_Alexander,497
2020-03-05,22:19,Thu,469,True,P36 - P+R_Alexander,497
2020-03-05,22:20,Thu,470,True,P36 - P+R_Alexander,497
